Municipality,Geography,HomeType,Median Price of Year,Median Price of 2023,Price YoY
TORONTO,Toronto C08,Condo Apt,788660.25,815897.9820760615,0.03453671219775756
TORONTO,Toronto C08,Condo Townhouse,1064236.0,1169834.1625509944,0.09922438495878216
TORONTO,Toronto C08,Semi-Detached,1801166.6875,1720872.2482665456,-0.04457912740153003
TORONTO,Toronto C09,Co-Op Apt,884825.0,931783.5665337127,0.0530710214265111
TORONTO,Toronto C09,Condo Apt,1205173.5625,1347430.8150350295,0.11803880948062995
TORONTO,Toronto C09,Detached,4135112.5,4385559.9521615105,0.060566055255210305
TORONTO,Toronto C10,Condo Apt,771851.0625,801095.3852984655,0.03788855676863889
TORONTO,Toronto C10,Condo Townhouse,960000.0,980470.5856552094,0.021323526724176478
TORONTO,Toronto C10,Semi-Detached,1602503.3125,1616170.8827850977,0.008528887384186001
TORONTO,Toronto C11,Condo Apt,634041.21875,658198.6228958548,0.03810068404303535
TORONTO,Toronto C11,Condo Townhouse,746250.0,762876.7804485272,0.022280442812096846
TORONTO,Toronto C11,Detached,2682493.25,2754436.772880007,0.026819647311324024
TORONTO,Toronto C12,Condo Apt,1000625.0,1133585.722819538,0.13287767427311747
TORONTO,Toronto C12,Condo Townhouse,1300370.8125,1288411.5032407765,-0.009196845349236482
TORONTO,Toronto C12,Detached,4922841.25,4730389.18185796,-0.039093697799424176
TORONTO,Toronto C13,Condo Apt,701450.28125,741146.0214484124,0.05659095342819409
TORONTO,Toronto C13,Condo Townhouse,901750.0,868398.3292580473,-0.03698549569387599
TORONTO,Toronto C13,Detached,2210570.625,2155335.790890311,-0.0249866860099478
TORONTO,Toronto C13,Semi-Detached,1090596.15625,1077084.0042548436,-0.012389693396332668
TORONTO,Toronto C14,Condo Apt,763942.75,754556.1003629814,-0.012287111353591063
TORONTO,Toronto C14,Condo Townhouse,1060932.0,1080734.253699727,0.018664960336503
TORONTO,Toronto C14,Detached,2385579.75,2321839.755519439,-0.026718869692183178
TORONTO,Toronto C15,Condo Apt,750534.46875,748330.2012551499,-0.0029369303964430493
TORONTO,Toronto C15,Condo Townhouse,939916.90625,926988.1295972107,-0.013755233645462828
TORONTO,Toronto C15,Detached,2092547.5,1815931.2740617478,-0.1321911335050947
TORONTO,Toronto C15,Semi-Detached,1144276.6875,1113639.4682084105,-0.02677431046727452
TORONTO,Toronto E01,Condo Townhouse,964947.21875,1018527.0979947761,0.0555262279673534
TORONTO,Toronto E01,Semi-Detached,1412216.8125,1395967.7013868762,-0.01150610229909288
TORONTO,Toronto E02,Condo Apt,890683.75,929077.9863974776,0.04310647454551364
TORONTO,Toronto E02,Semi-Detached,1334115.75,1349095.5635918523,0.011228271303934667
TORONTO,Toronto E03,Condo Apt,574455.34375,628387.7150362248,0.09388435824124897
TORONTO,Toronto E03,Semi-Detached,1291933.3125,1262882.4974895348,-0.022486311583876928
TORONTO,Toronto E04,Condo Apt,585344.3125,594076.2934720409,0.014917683123539138
TORONTO,Toronto E04,Condo Townhouse,778976.28125,805114.7623242546,0.03355491265062782
TORONTO,Toronto E04,Detached,1163351.6875,1107958.1821938392,-0.04761544243357685
TORONTO,Toronto E04,Semi-Detached,930880.9375,924186.6240556749,-0.007191374508434545
TORONTO,Toronto E05,Condo Apt,670785.09375,648527.0991142088,-0.03318200544880723
TORONTO,Toronto E05,Condo Townhouse,835738.09375,803955.5986225742,-0.03802925266313528
TORONTO,Toronto E05,Semi-Detached,1093000.0,1075871.3633327708,-0.015671213785205196
TORONTO,Toronto E07,Condo Apt,628899.28125,623768.561990333,-0.008158252700605995
TORONTO,Toronto E07,Condo Townhouse,897500.0,847284.0126705796,-0.05595096081272466
TORONTO,Toronto E07,Link,1104000.0,955687.8867669652,-0.1343406822762997
TORONTO,Toronto E07,Semi-Detached,1051785.71875,1009775.490736001,-0.03994181254326801
TORONTO,Toronto E08,Condo Apt,579397.21875,589287.6431098382,0.01707019647276864
TORONTO,Toronto E08,Condo Townhouse,780525.0,771931.5448976522,-0.011009839662211696
TORONTO,Toronto E09,Condo Apt,630487.84375,618677.994949611,-0.01873128707787075
TORONTO,Toronto E09,Condo Townhouse,677070.84375,693867.8903588038,0.0248084033803202
TORONTO,Toronto E09,Detached,1114294.4375,1086608.3694336328,-0.02484627683189633
TORONTO,Toronto E10,Condo Townhouse,702583.03125,708839.7071517521,0.008905247669617866
TORONTO,Toronto E10,Detached,1374679.3125,1297792.9156624961,-0.05593042401844095
TORONTO,Toronto E10,Semi-Detached,948083.34375,945768.6815062582,-0.002441412201786508
TORONTO,Toronto E11,Condo Apt,545190.78125,558443.9068282597,0.024309152014407198
TORONTO,Toronto E11,Condo Townhouse,741446.4375,736504.8771103246,-0.006664757074479111
TORONTO,Toronto E11,Detached,1189824.625,1095000.1731257886,-0.0796961584773146
TORONTO,Toronto E11,Semi-Detached,959800.0,953706.4513944864,-0.006348769124310927
TORONTO,Toronto W01,Condo Apt,849492.65625,875191.295540424,0.030251749796011307
TORONTO,Toronto W01,Detached,2261746.5,2333673.27268887,0.031801429863545616
TORONTO,Toronto W01,Semi-Detached,1677860.0,1733383.8268809172,0.03309204992127901
TORONTO,Toronto W02,Condo Apt,773925.53125,814595.0131343406,0.05254960618582216
TORONTO,Toronto W02,Detached,1830246.375,1849371.5008813834,0.01044948163406878
TORONTO,Toronto W02,Semi-Detached,1346346.375,1351305.3673378814,0.003683296089300514
TORONTO,Toronto W03,Condo Apt,685344.1875,684468.0703510743,-0.0012783608074674602
TORONTO,Toronto W03,Detached,1072730.4375,1079747.0345038974,0.006540876215137104
TORONTO,Toronto W03,Semi-Detached,1145496.5,1066787.8896338725,-0.06871134950314339
TORONTO,Toronto W04,Condo Apt,582859.0625,609681.228846133,0.04601827109127776
TORONTO,Toronto W04,Detached,1341387.1875,1287034.8007076355,-0.040519536267275225
TORONTO,Toronto W04,Semi-Detached,986346.09375,869501.4556985843,-0.11846210857609096
TORONTO,Toronto W05,Condo Apt,556940.25,567415.4281561442,0.018808441580841384
TORONTO,Toronto W05,Condo Townhouse,691726.65625,693225.8415452846,0.0021673088375862015
